"[405]450_50-A","[561]610_20-A"
619.179993,2021.010010
200.029999,1159.709961
1030.859985,2767.469971
355.239990,32.189999
2566.359863,308.850006
670.640015,33.060001
767.750000,383.670013
419.979980,191.399994
1196.030029,1337.190063
1807.739990,1991.430054
1135.439941,102.660004
855.729980,1545.989990
2577.149902,46.980000
366.859985,575.070007
156.039993,4.350000
877.309998,5766.359863
760.279968,6.960000
361.880005,152.250000
417.489990,128.759995
537.839966,6991.319824
921.299988,2275.050049
309.589996,1411.140015
390.100006,1928.790039
1111.369995,1435.500000
310.419983,1897.469971
825.849976,2993.669922
415.829987,982.229980
773.559998,-0.870000
181.769989,24813.269531
326.190002,13021.290039
1272.390015,-7.830000
2016.899902,380.190002
279.709991,53.070000
1283.179932,304.500000
222.440002,1419.839966
615.029968,653.369995
355.239990,669.030029
442.389984,-3.480000
307.929993,368.880005
443.220001,185.309998
1187.729980,12964.740234
676.450012,1569.479980
1298.119995,5059.919922
403.380005,3437.370117
322.040009,12922.110352
1391.079956,1427.670044
11.620000,83312.070312
680.599976,55.680000
298.799988,54.810001
1039.160034,1976.640015
3309.209961,-17.400000
2113.179932,-23.490000
973.589966,13.050000
310.419983,1622.550049
1063.229980,455.880005
760.279968,3794.939941
882.289978,524.609985
2075.830078,348.000000
1905.679932,4509.209961
2579.639893,33.930000
1111.369995,17386.080078
857.389954,17123.339844
1076.510010,9177.629883
873.159973,10253.820312
2792.949951,6.960000
1191.049927,2649.149902
1402.699951,26639.400391
207.500000,1246.709961
1647.549927,1492.050049
109.559998,989.190002
825.849976,3991.560059
385.119995,127.020004
751.149963,2543.880127
318.720001,3208.560059
874.820007,3155.489990
251.489990,3883.679932
384.289978,726.450012
712.140015,4884.180176
295.479980,-7.830000
387.609985,7399.350098
282.199982,38.279999
2660.979980,41.760002
388.440002,2084.520020
2907.489990,14030.490234
616.690002,-6.960000
1055.760010,9543.030273
302.949982,8547.750000
78.019997,10.440001
407.529999,488.940002
581.000000,787.349976
753.640015,936.119995
2629.439941,1876.589966
345.279999,74.820000
262.279999,10.440001
1156.189941,1927.920044
476.419983,625.530029
627.479980,9335.099609
1233.380005,965.700012
2355.540039,21.750000
617.519958,551.580017
750.320007,526.349976
1501.469971,388.890015
343.619995,161.820007
1563.719971,70950.242188
303.779999,16.530001
532.859985,7102.680176
2533.159912,10983.750000
2264.239990,2121.060059
479.739990,2848.380127
1815.209961,3854.100098
673.130005,1569.479980
710.479980,4627.529785
1875.799927,5111.250000
3422.089844,64.379997
1543.799927,3830.610107
1054.099976,5826.390137
2710.780029,24217.320312
315.399994,26.969999
345.279999,24.360001
72.209999,1354.589966
262.279999,1372.859985
1296.459961,5202.600098
1260.770020,7484.609863
387.609985,1917.479980
576.019958,234.029999
2299.099854,73.949997
3383.079834,483.720001
531.200012,216.630005
2017.729980,4365.660156
596.769958,-27.840000
376.820007,3709.679932
815.059998,6389.280273
343.619995,10139.849609
1572.849976,1391.130005
306.269989,1827.000000
1417.640015,48.720001
1368.669922,13231.830078
984.380005,1055.310059
355.239990,395.850006
774.390015,41819.160156
1253.299927,833.460022
393.419983,5263.500000
762.769958,8322.419922
454.839996,2387.280029
620.010010,1619.940063
799.289978,840.419983
5142.679688,1762.619995
995.169983,5285.250000
403.380005,0.870000
465.630005,3805.380127
2743.149902,63.510002
976.079956,25971.240234
196.709991,5.220000
2057.570068,5266.109863
775.219971,6.960000
1105.559937,11983.379883
1350.409912,39.150002
556.099976,6025.620117
392.589996,26419.291016
620.839966,11.310000
1581.979980,306.239990
3176.409912,29.580000
385.949982,46.980000
1629.289917,29.580000
209.989990,39.150002
306.269989,33.060001
751.149963,195.750000
1354.559937,7729.080078
268.919983,9.570000
1407.679932,769.080017
1768.729980,29631.330078
722.929993,2594.340088
3035.310059,2134.979980
2143.889893,2778.780029
1229.229980,17.400000
263.109985,11.310000
1241.679932,3466.080078
498.000000,3248.580078
824.190002,19.139999
373.500000,-1.740000
1845.089966,40.020000
703.839966,2349.000000
2078.320068,8530.349609
419.979980,754.289978
1484.039917,39565.859375
637.440002,674.250000
1896.549927,3018.899902
333.660004,3780.149902
96.279999,-4.350000
630.799988,3190.290039
525.390015,52.200001
2684.219971,1233.660034
3668.599854,40.889999
1224.250000,2332.469971
2709.119873,2114.100098
446.539978,1512.060059
1379.459961,21.750000
747.829956,2.610000
1408.510010,5331.359863
2943.179932,4.350000
3598.879883,124.410004
2940.689941,1435.500000
265.600006,1147.530029
307.100006,4685.819824
500.489990,13641.599609
333.660004,6269.220215
2579.639893,469.799988
633.289978,1239.750000
307.100006,1761.750000
1340.449951,8540.790039
1311.400024,4226.459961
1894.059937,290.579987
1485.699951,25.230000
2004.449951,4235.160156
1393.569946,209.669998
964.459961,14.790000
859.880005,13.050000
695.539978,2250.689941
385.119995,5781.149902
423.299988,17.400000
538.669983,406.290009
671.469971,3935.010010
867.349976,180.960007
1271.559937,54.810001
1117.179932,1646.040039
1251.640015,24.360001
803.440002,32.189999
3675.239990,2876.219971
1153.699951,7997.040039
1376.969971,22.620001
1048.290039,4897.229980
576.019958,3096.330078
541.159973,13.050000
580.169983,16972.830078
351.919983,-20.880001
396.739990,91.349998
2020.219971,10.440001
600.089966,4.350000
931.260010,192.270004
1240.849976,475.890015
1650.869995,11238.660156
988.529968,14965.740234
2254.280029,2399.459961
5019.009766,37.410000
630.799988,4232.549805
203.349991,136.589996
430.769989,24672.330078
1015.089966,75.690002
118.689995,21284.550781
515.429993,12.180000
1005.959961,706.440002
1196.030029,215.759995
724.589966,0.000000
415.000000,37.410000
703.839966,11424.839844
1046.630005,1171.020020
964.459961,4752.810059
824.190002,102.660004
368.519989,15144.959961
397.569977,10.440001
1728.890015,398.459991
1031.689941,5776.799805
1728.059937,172.259995
1193.539917,2676.989990
393.419983,13.920000
578.510010,7069.620117
1675.770020,245.339996
309.589996,3761.880127
371.009979,3275.550049
1364.520020,1759.140015
792.649963,24.360001
1486.530029,28.710001
390.100006,970.049988
1615.179932,16947.599609
889.760010,3731.429932
663.169983,3963.719971
1911.489990,6555.450195
698.859985,2344.649902
337.809998,53.070000
1215.119995,22.620001
552.779968,5591.490234
467.289978,6054.330078
927.109985,33.060001
909.679993,36.540001
1057.419922,-11.310000
422.470001,18291.750000
970.269958,93.959999
2003.619995,8777.429688
448.199982,45.240002
889.760010,14533.349609
2377.119873,10854.990234
605.070007,8600.820312
18.260000,5130.390137
1753.789917,33.930000
6722.169922,744.720032
693.880005,6.960000
634.950012,389.760010
2885.909912,127.889999
1459.969971,33.930000
606.729980,4000.260010
806.760010,6872.129883
1313.890015,34536.390625
400.889984,8.700000
347.769989,3924.570068
1932.239990,-24.360001
832.489990,16849.291016
504.639984,40.020000
4322.640137,44.369999
2227.719971,14942.250000
258.130005,3198.120117
1605.219971,14315.849609
644.909973,1159.709961
1141.250000,1567.739990
877.309998,745.590027
455.669983,1260.630005
2381.270020,1040.520020
379.309998,856.080017
880.630005,705.570007
1554.589966,7120.080078
2789.629883,2320.290039
328.679993,11426.580078
678.940002,4211.669922
465.630005,11926.830078
1491.510010,9.570000
2350.560059,4970.310059
1814.380005,56.549999
101.259995,4001.130127
1887.419922,-6.090000
869.839966,597.690002
603.409973,19.139999
676.450012,442.830017
1363.689941,15.660000
2042.630005,80.040001
1697.349976,9207.209961
1216.780029,1117.079956
1532.179932,10.440001
841.619995,381.059998
484.720001,4605.779785
3048.589844,7094.850098
774.390015,18.270000
1561.229980,9586.530273
632.459961,11882.459961
3679.389893,19240.919922
1593.599976,3089.370117
1368.669922,353.220001
1303.929932,25898.160156
990.190002,188.790009
802.609985,341.910004
2450.989990,399.330017
480.569977,13.050000
798.459961,14393.280273
1708.969971,33.060001
1188.559937,13312.740234
1864.179932,17434.800781
707.159973,798.660034
480.569977,4751.069824
1250.809937,8318.070312
551.119995,9.570000
329.509979,95.699997
1998.640015,16.530001
1996.149902,45.240002
2116.500000,521.130005
3162.300049,6493.680176
925.449951,4360.439941
322.040009,3569.610107
1754.619995,1118.819946
1031.689941,18191.699219
602.580017,783.869995
2980.530029,3048.479980
1424.280029,8828.759766
6554.509766,29.580000
1671.619995,6421.470215
5951.100098,75.690002
1456.650024,17416.529297
1281.520020,3.480000
825.849976,93.090004
2778.839844,9057.570312
2004.449951,16.530001
1674.939941,1610.369995
1495.659912,15.660000
629.969971,516.780029
417.489990,-7.830000
271.410004,7246.229980
3395.530029,20989.619141
1645.059937,13068.270508
1046.630005,7608.149902
1999.469971,23215.080078
380.139984,15885.330078
732.059998,70.470001
966.949951,6002.129883
1429.260010,104.400002
1122.160034,60.900002
3500.109863,590.729980
2945.669922,28.710001
1385.270020,57.420002
4566.659668,88.739998
405.039978,5407.049805
418.319977,9256.799805
1490.679932,2348.130127
462.309998,1656.479980
927.940002,12.180000
1323.020020,9924.959961
2078.320068,4694.520020
4750.089844,15.660000
1094.770020,28.710001
4413.109863,33.060001
1985.359985,15494.700195
233.229996,3530.459961
1826.829956,325.380005
1357.049927,8624.309570
766.089966,569.849976
488.039978,2433.389893
443.220001,20.880001
406.699982,10396.500000
624.159973,5189.549805
523.729980,12380.099609
360.220001,28206.269531
959.479980,17382.599609
889.760010,10456.530273
807.589966,3395.610107
3564.020020,899.580017
258.130005,1911.390015
370.179993,445.440002
1536.329956,0.870000
391.759979,963.960022
2756.429932,2944.080078
539.500000,3699.239990
1615.179932,2681.340088
405.869995,1171.890015
381.799988,3924.570068
551.950012,3104.159912
704.669983,10.440001
818.380005,-7.830000
224.929993,1717.380005
328.679993,5540.160156
750.320007,36661.800781
1005.130005,26.100000
1301.439941,25988.640625
804.269958,10197.270508
2008.599976,27.840000
2719.079834,73.080002
888.929993,2821.409912
336.149994,-20.880001
1004.299988,26.969999
3566.510010,6210.930176
987.699951,12782.910156
1032.520020,3315.570068
913.829956,17.400000
350.259979,3824.520020
971.929993,16441.259766
1103.900024,10728.839844
1454.159912,1131.000000
1268.239990,3.480000
609.219971,19.139999
834.979980,5485.350098
1377.799927,6112.620117
1385.270020,8134.500000
2075.000000,17426.970703
298.799988,15.660000
1404.359985,435.000000
1171.130005,4879.830078
1582.809937,73.080002
1530.520020,1786.979980
404.209991,4135.979980
382.630005,15.660000
381.799988,577.679993
1359.539917,5867.280273
798.459961,16180.259766
3305.889893,3848.010010
1232.549927,809.970032
1654.189941,23.490000
205.839996,1611.239990
258.130005,3184.199951
674.789978,825.630005
1684.900024,0.870000
191.729996,5997.780273
1013.429993,26.969999
1974.569946,39035.160156
3044.439941,867.390015
1500.640015,8.700000
1350.409912,5450.549805
845.769958,4788.479980
530.369995,13.920000
866.519958,21743.041016
1205.160034,51.330002
1308.079956,1606.890015
1249.979980,2065.380127
213.309998,1967.070068
3436.199951,32.189999
279.709991,45116.460938
272.239990,4548.359863
878.969971,20.880001
754.469971,34.799999
6522.139648,43.500000
1132.119995,2694.390137
179.279999,11412.660156
7087.369629,26.100000
812.570007,15.660000
552.779968,3.480000
5420.729980,54.810001
427.449982,32188.259766
1040.819946,6.090000
1483.209961,42.630001
438.239990,3064.140137
460.649994,6178.740234
880.630005,2074.949951
1746.319946,11328.270508
307.100006,3.480000
341.130005,423.690002
462.309998,7401.959961
2411.979980,21235.830078
1916.469971,6994.799805
628.309998,244.470001
693.049988,7671.660156
1562.059937,64.379997
3833.770020,226.199997
1170.299927,-7.830000
1944.689941,59.160000
658.190002,22870.560547
3358.179932,942.210022
611.709961,3061.530029
857.389954,19393.169922
773.559998,11298.690430
853.239990,1124.040039
853.239990,8589.509766
985.209961,636.840027
2307.399902,10.440001
729.570007,310.589996
441.559998,3214.649902
381.799988,29.580000
514.599976,67656.421875
3340.750000,13656.389648
264.769989,384.540009
60.590000,181.830002
1085.640015,6344.910156
2754.770020,5536.680176
1198.520020,2790.090088
292.160004,6067.379883
4209.759766,2308.110107
611.709961,19.139999
2241.829834,5.220000
691.390015,887.400024
2111.520020,26.100000
1285.669922,6327.510254
438.239990,6043.890137
528.709961,3144.179932
1534.669922,13284.900391
2416.959961,72.209999
1067.380005,5173.020020
1049.119995,12906.450195
1090.619995,0.000000
961.969971,987.450012
1313.890015,467.190002
655.700012,349.739990
766.919983,-12.180000
3318.339844,14.790000
1943.859985,1307.609985
659.019958,3497.399902
1881.609985,3313.830078
600.089966,16575.240234
1009.279968,1116.209961
2429.409912,10031.969727
576.019958,0.870000
834.979980,8198.009766
600.089966,4205.580078
599.260010,631.619995
727.909973,10424.339844
694.709961,34.799999
1909.829956,1059.660034
327.850006,1125.780029
557.760010,6375.359863
598.429993,33470.640625
1796.949951,5476.649902
605.070007,-0.870000
687.239990,7551.600098
1224.250000,11170.799805
689.729980,9929.309570
379.309998,12428.820312
2390.399902,7.830000
328.679993,24.360001
320.380005,5848.140137
219.949997,65122.980469
410.019989,4590.990234
385.949982,2985.840088
973.589966,1609.500000
562.739990,2304.630127
2413.639893,13708.589844
761.109985,4968.569824
674.789978,5558.430176
615.029968,3956.760010
1332.979980,20547.660156
498.000000,24.360001
3195.500000,122.669998
1435.900024,4917.240234
445.709991,29.580000
2870.969971,-1.740000
1023.389954,38.279999
282.199982,3427.800049
1208.479980,7650.780273
851.579956,-10.440001
546.969971,4615.350098
220.779999,11475.299805
1276.539917,2850.989990
287.179993,1475.520020
478.910004,10456.530273
2006.939941,594.210022
1633.439941,979.619995
2517.389893,5294.819824
709.649963,4782.390137
421.639984,9199.379883
1782.010010,901.320007
334.489990,5779.410156
509.619995,4573.589844
317.059998,-11.310000
780.200012,-7.830000
844.940002,-6.090000
2256.770020,1143.180054
735.380005,5427.930176
421.639984,2882.310059
362.709991,6.960000
2133.929932,9.570000
978.570007,120.059998
1977.890015,3217.260010
2128.119873,4556.189941
425.789978,4106.399902
1981.209961,42.630001
356.070007,1780.020020
1972.079956,14749.980469
1494.829956,15123.209961
495.509979,8737.410156
560.250000,4673.640137
485.549988,1583.400024
1205.160034,25.230000
1205.160034,40.889999
3978.189941,137.460007
616.690002,1231.920044
320.380005,10359.959961
2038.479980,6264.870117
1430.089966,853.470032
393.419983,3375.600098
946.199951,11490.959961
1110.539917,42.630001
3261.069824,7241.010254
805.099976,8076.209961
557.760010,35987.550781
690.559998,215.759995
344.449982,9.570000
478.910004,7484.609863
380.970001,2636.100098
915.489990,24.360001
583.489990,13063.919922
620.010010,4611.000000
960.309998,7343.669922
580.169983,17.400000
2280.010010,7100.939941
2144.719971,20.010000
691.390015,8702.610352
1806.909912,-17.400000
3833.770020,691.650024
351.919983,7768.229980
601.750000,61.770000
3255.260010,12727.230469
1355.390015,3391.260010
306.269989,10843.679688
862.369995,12396.629883
2191.199951,8204.969727
1406.020020,227.070007
2346.409912,2477.760010
1432.579956,5229.569824
185.919998,37212.511719
1288.989990,66.989998
304.609985,14522.040039
671.469971,6632.879883
760.279968,435.869995
646.570007,1412.880005
2361.349854,26.100000
547.799988,36.540001
602.580017,8024.010254
2502.449951,2355.090088
1503.959961,14.790000
1107.219971,17.400000
1820.189941,1717.380005
541.159973,35.670002
776.880005,39.150002
1337.959961,29.580000
1208.479980,77.430000
322.869995,7983.990234
1510.599976,43.500000
1238.359985,12657.629883
625.820007,91.349998
1513.089966,818.669983
304.609985,18.270000
373.500000,3524.370117
1367.010010,7906.560059
1233.380005,3592.229980
941.219971,13279.679688
1213.459961,895.229980
769.409973,7307.129883
585.979980,40675.980469
3088.429932,32.189999
1740.510010,3143.310059
1624.309937,7.830000
648.229980,762.119995
261.449982,21000.929688
1836.789917,14791.740234
383.459991,3751.439941
332.000000,5445.330078
438.239990,963.090027
454.839996,16.530001
1189.390015,1650.390015
1061.569946,396.720001
379.309998,182.699997
839.959961,16.530001
698.029968,595.950012
2044.289917,81.779999
2101.560059,21.750000
1240.849976,7676.879883
1204.329956,5860.319824
3093.409912,1595.579956
322.040009,4416.990234
443.220001,-5.220000
556.099976,5997.780273
436.579987,50.459999
1492.339966,1565.130005
4228.020020,7538.549805
278.049988,129.630005
1840.939941,9640.469727
722.099976,6812.970215
2302.419922,4095.959961
298.799988,52.200001
511.279999,441.959991
305.440002,741.239990
438.239990,9.570000
500.489990,12443.610352
812.570007,26.100000
771.070007,24.360001
614.200012,574.200012
630.799988,5116.470215
1446.689941,16502.160156
1182.750000,993.539978
872.329956,29046.689453
861.539978,10535.700195
222.440002,1189.290039
1039.989990,26.100000
552.779968,8566.020508
1997.809937,8200.620117
187.580002,35062.738281
1210.969971,6308.370117
183.429993,385.410004
2328.979980,22544.310547
380.970001,2469.060059
873.989990,10.440001
801.779968,1445.070068
1849.239990,25.230000
514.599976,6744.240234
407.529999,2800.530029
786.010010,2614.350098
517.089966,2911.020020
3075.979980,13872.150391
1137.929932,9395.129883
787.669983,45.240002
2928.239990,16211.580078
4834.750000,7477.649902
1069.869995,460.230011
922.130005,10121.580078
470.609985,9175.020508
353.579987,-14.790000
42.329998,105.270004
1590.279907,11.310000
3420.429932,2396.850098
1243.339966,1.740000
454.839996,56.549999
827.510010,1456.380005
452.350006,2790.959961
1956.309937,56.549999
995.169983,4296.930176
207.500000,1147.530029
1244.169922,14452.440430
2414.469971,5.220000
745.339966,6256.169922
538.669983,22449.480469
239.869995,452.399994
2340.599854,2414.250000
1928.919922,-1.740000
346.109985,1795.680054
939.559998,22606.949219
607.559998,1722.599976
1414.319946,2757.899902
525.390015,2683.080078
1342.109985,8897.490234
1715.609985,591.599976
512.109985,108.750000
599.260010,1479.869995
2328.979980,60.900002
1210.969971,16523.910156
946.199951,1931.400024
1099.750000,7365.419922
1104.729980,39.150002
1978.719971,3541.770020
81.339996,2477.760010
1123.819946,0.870000
308.759979,2584.770020
242.360001,4992.060059
2084.959961,4779.779785
1531.349976,19842.089844
1195.199951,432.390015
774.390015,10961.129883
530.369995,915.239990
793.479980,389.760010
2092.429932,492.420013
410.850006,1144.050049
587.640015,1913.130005
270.579987,5792.459961
522.070007,1085.760010
1488.189941,10181.610352
639.099976,861.299988
2810.379883,7282.770020
563.570007,18.270000
49.799999,690.780029
523.729980,2707.439941
927.109985,2197.620117
600.919983,665.549988
1973.739990,-20.010000
1083.150024,23.490000
2836.939941,32.189999
117.860001,4350.000000
682.260010,299.279999
296.309998,4317.810059
2897.530029,31.320000
1385.270020,895.229980
586.809998,6627.660156
541.989990,6305.760254
525.390015,135.720001
1695.689941,19035.599609
1240.020020,40508.070312
2165.469971,58.290001
43.989998,8023.140137
1874.140015,10108.530273
723.760010,171.389999
1119.669922,2009.699951
1376.969971,25738.949219
610.049988,2714.399902
2638.570068,23.490000
451.519989,15.660000
717.119995,33361.019531
426.619995,9331.620117
1085.640015,5336.580078
1306.419922,26.100000
1196.030029,1853.969971
1280.689941,222.720001
1455.819946,2556.929932
816.719971,3277.290039
175.129990,408.029999
450.690002,535.049988
3174.750000,1543.380005
3398.020020,1020.510010
786.010010,76.559998
1992.829956,41.760002
442.389984,934.380005
631.630005,2844.030029
322.040009,42.630001
452.350006,13993.080078
524.559998,10112.009766
1318.039917,2301.149902
3820.489990,52.200001
344.449982,13299.690430
1120.500000,7790.850098
441.559998,15.660000
174.300003,73.080002
761.109985,7.830000
2148.869873,-20.010000
727.079956,25.230000
638.269958,35943.179688
3528.329834,21.750000
1669.130005,3546.989990
1474.079956,26.969999
2720.739990,33272.281250
434.919983,6689.430176
476.419983,1001.369995
485.549988,21.750000
1324.679932,11185.589844
1693.199951,279.269989
733.719971,16.530001
1692.369995,940.470032
1484.869995,6458.879883
1344.599976,-4.350000
346.940002,1513.800049
2260.089844,59.160000
1037.500000,1138.829956
4772.500000,837.809998
3671.919922,11.310000
80.510002,4494.419922
1741.339966,934.380005
501.319977,2456.880127
251.489990,677.729980
95.449997,7435.020020
395.079987,9224.610352
938.729980,2548.229980
221.610001,7327.140137
1054.929932,-6.960000
819.209961,7049.609863
1958.799927,80.910004
1996.979980,-15.660000
1655.849976,2850.120117
1395.229980,2331.600098
361.880005,39317.910156
3782.309814,2773.560059
612.539978,251.430008
628.309998,9277.679688
3428.729980,26.969999
1648.380005,3.480000
184.259995,336.690002
491.359985,48.720001
1044.969971,24198.179688
3444.500000,204.449997
202.519989,1673.010010
1804.419922,5797.680176
925.449951,3407.790039
340.299988,14.790000
1720.589966,11629.290039
938.729980,13.050000
3074.319824,919.590027
2150.530029,1214.520020
588.469971,1310.219971
8905.899414,50.459999
1031.689941,-2.610000
3054.399902,18633.660156
748.659973,2120.189941
489.699982,42527.339844
1250.809937,42.630001
296.309998,49.590000
368.519989,31.320000
259.790009,8537.309570
563.570007,9118.469727
2651.020020,6489.330078
434.089996,10082.429688
871.500000,5496.660156
654.869995,71.340004
810.909973,1576.440063
689.729980,223.589996
1624.309937,7200.990234
552.779968,7279.290039
2781.329834,32.189999
2664.300049,3515.669922
2728.209961,6525.870117
1292.309937,562.890015
517.089966,75.690002
872.329956,8723.490234
419.979980,1598.190063
333.660004,2382.929932
3016.219971,23.490000
401.720001,9655.259766
418.319977,803.880005
2057.570068,11691.060547
260.619995,234.899994
1845.919922,3694.020020
162.679993,9.570000
772.729980,62.639999
1279.859985,1280.640015
565.229980,1107.510010
3078.469971,29346.839844
351.089996,395.850006
