"[405]450_50-A","[561]610_20-A"
58.930000,47.849998
-8.300000,10.440001
24.070000,22.620001
23.240000,3458.250000
75.529999,2365.530029
40.669998,32.189999
16.600000,5049.479980
74.699997,2690.909912
22.410000,15.660000
415.829987,-4.350000
34.860001,72.209999
163.509995,2597.820068
180.940002,652.500000
10.790000,263.610016
26.559999,20.010000
92.129997,1204.949951
375.160004,6432.780273
54.779999,-9.570000
12.450000,11.310000
25.730000,-30.450001
0.830000,-6.090000
180.940002,27.840000
21.580000,8.700000
3519.199951,33867.359375
335.320007,4115.970215
15.770000,224.460007
41.500000,23.490000
16.600000,-4.350000
39.009998,1197.119995
29.049999,-14.790000
603.409973,15.660000
9.130000,39.150002
27.389999,332.339996
-5.810000,0.000000
-7.470000,23.490000
249.000000,697.739990
528.709961,2018.400024
115.369995,883.049988
3.320000,17.400000
39.840000,56.549999
491.359985,5286.990234
686.409973,2491.679932
-0.830000,-5.220000
185.089996,6249.209961
19.920000,624.659973
24.070000,588.989990
297.139984,164.430008
53.119999,13.050000
29.049999,105.270004
27.389999,-6.960000
11.620000,27.840000
48.139999,45.240002
23.240000,65.250000
113.709999,3556.560059
51.459999,126.150002
176.789993,1759.140015
31.539999,56.549999
4.150000,12.180000
590.130005,3953.280029
82.169998,527.220032
33.200001,9.570000
120.349998,1663.440063
208.330002,28416.810547
20.750000,37.410000
57.270000,-9.570000
215.800003,2967.570068
43.989998,-0.870000
21.580000,10.440001
6.640000,-9.570000
-9.130000,4.350000
40.669998,7308.000000
-0.830000,6.960000
176.789993,838.679993
14.940000,22.620001
77.189995,1338.060059
116.199997,116.580002
156.039993,26.969999
-7.470000,-23.490000
19.920000,54.810001
229.080002,7274.939941
29.879999,23.490000
342.789978,1845.270020
14.110000,103.529999
313.739990,2436.000000
81.339996,11496.179688
4.980000,491.549988
107.900002,406.290009
32.369999,31.320000
46.480000,2919.719971
-7.470000,146.160004
47.309998,4569.240234
13.280000,-1.740000
234.059998,20505.900391
17.430000,36990.660156
59.759998,-25.230000
34.860001,3715.770020
41.500000,-2.610000
225.759995,416.730011
19.090000,13.920000
10.790000,4011.570068
48.139999,-2.610000
34.860001,13.920000
53.119999,374.100006
-14.940000,46.980000
349.429993,1954.890015
-1.660000,31.320000
45.649998,11993.820312
58.930000,235.770004
95.449997,829.979980
29.049999,-0.870000
449.029999,2904.929932
4.980000,6.960000
29.879999,39.150002
354.410004,164.430008
15.770000,137.460007
302.949982,29.580000
391.759979,108.750000
4007.239990,43431.269531
13.280000,35.670002
34.029999,6785.129883
-0.830000,53.939999
163.509995,889.140015
63.910000,959.609985
13.280000,4.350000
321.209991,1398.959961
6.640000,-20.010000
77.189995,1716.510010
49.799999,794.309998
21.580000,-3.480000
418.319977,1989.690063
4.980000,25.230000
16.600000,1.740000
151.059998,1452.900024
19.920000,4.350000
17.430000,37.410000
53.950001,485.459991
28.219999,-20.010000
34.860001,-14.790000
112.879997,45.240002
4.150000,-7.830000
14.110000,26.969999
29.049999,87.000000
33.200001,202.710007
55.610001,-15.660000
164.339996,7687.319824
39.840000,26.969999
61.419998,2.610000
49.799999,13.920000
56.439999,175.740005
-9.130000,194.009995
-1.660000,-11.310000
81.339996,62.639999
33.200001,791.700012
120.349998,6.090000
282.199982,4250.819824
236.549988,19.139999
880.630005,2607.389893
25.730000,6.960000
-4.980000,13.920000
199.199997,8811.360352
32.369999,46792.082031
83.830002,127.889999
54.779999,0.870000
288.839996,24455.699219
-27.389999,21.750000
264.769989,2070.600098
208.330002,20.010000
37.349998,21.750000
231.569992,228.809998
55.610001,135.720001
61.419998,3944.580078
16.600000,30.450001
449.859985,13880.849609
54.779999,1707.810059
19.920000,106.139999
62.250000,7369.770020
41.500000,12.180000
98.769997,8355.480469
14.110000,10.440001
34.860001,406.290009
20.750000,-2.610000
117.029999,127.020004
14.940000,817.799988
20.750000,8.700000
881.459961,6550.229980
194.220001,59641.980469
-9.130000,43.500000
29.049999,983.970032
8.300000,1.740000
229.080002,1698.239990
11.620000,2.610000
24.070000,35.670002
34.860001,32.189999
38.180000,3921.090088
87.979996,25.230000
520.409973,4156.859863
515.429993,468.929993
292.989990,29.580000
23.240000,-5.220000
14.940000,-4.350000
28.219999,37.410000
119.519997,1292.819946
21.580000,164.430008
36.520000,1.740000
83.000000,841.289978
63.079998,1763.489990
278.880005,4655.370117
29.879999,0.000000
23.240000,37.410000
35.689999,255.779999
41.500000,51.330002
50.629997,20.010000
43.160000,635.099976
-14.110000,478.500000
22.410000,868.260010
33.200001,13.050000
9.960000,-13.050000
0.000000,2050.590088
72.209999,889.140015
13.280000,-9.570000
102.919998,77.430000
29.879999,14.790000
92.129997,4421.339844
286.350006,1084.020020
37.349998,2.610000
43.160000,28.710001
103.750000,8106.660156
